Sample_name,image_url,image_url2,image_url3,latitude,longitude,elevation_approx,notes,Traverse,rock_type,rock_description,original_dms,original_elevation,nm_notes
GT-3,https://uofi.box.com/s/bcpycedg08u0bul7fu03gunpgjm81r3a,,,-50.95666667,-72.95086111,1413,in between 1  & 4,Mirador Granite Transect,Granite,Homogenous Granite,"""","""",
GT-4,https://uofi.box.com/s/dcsbqt1kapa7sx4oe03evq5271ncojgr,,,-50.95666667,-72.95086111,1413,in between 1  & 4,Mirador Granite Transect,Granite,Homogenous Granite,"""","""",
GT-5,https://uofi.box.com/s/1syrnms514hyjtaat5igov6pa5m52hvm,,,-50.9565,-72.95055556,1388,,Mirador Granite Transect,Granite,Homogenous Granite,"50°57'23.4""S  72°57'02.0""W",1388,
GT-6,https://uofi.box.com/s/xoksuc7prvynsufmjz5s253459yw5mka,,,-50.9565,-72.95055556,1388,in between 4 & 7,Mirador Granite Transect,Granite,Homogenous Granite,"""","""",
GT-7,https://uofi.box.com/s/ov954ol310n66xk7clzh0bmmvkc4j5xf,,,-50.9565,-72.95055556,1388,in between 4 & 8,Mirador Granite Transect,Granite,Homogenous Granite,"""","""",
GT-8,,,,-50.9565,-72.95086111,1372,,Mirador Granite Transect,Granite,Homogenous Granite,"50°57'23.4""S  72°57'03.1""W",1372,
GT-9,https://uofi.box.com/s/ftbmkp5belp33udrjc7jrvcr3bcs5t54,,,-50.9565,-72.95086111,1372,next to 9,Mirador Granite Transect,Granite,Homogenous Granite,"""","""",
GT-10,https://uofi.box.com/s/tjh5sfa9rmtuo43nzp932eet6vu4tbig,,,-50.95566667,-72.95208333,1323,,Mirador Granite Transect,Granite,Homogenous Granite,"50°57'20.4""S  72°57'07.5""W",1323,
GT-11,https://uofi.box.com/s/bcsthct35eursrul1p9ag79aff89dnpo,,,null,null,,float,Mirador Granite Transect,Granite,Homogenous Granite,float,,
GT-12,https://uofi.box.com/s/qrdy7ybonvzcqn2b0332aqg97234m5lc,,,-50.95541667,-72.95208333,1345,,Mirador Granite Transect,Granite,Homogenous Granite,"50°57'19.5""S  72°57'07.5""W",1345,
GT-13,https://uofi.box.com/s/4lphv7uwwpc4nwasmw7ll8zcmlfp7cyn,,,-50.95566667,-72.95405556,1337,,Mirador Granite Transect,Granite,Homogenous Granite,"50°57'20.4""S  72°57'14.6""W",1337,
